timestamps,TP9,AF7,AF8,TP10,Right AUX
1700209054.726,-5.371,-34.668,-26.367,-20.996,0.000
1700209054.730,-42.969,-37.109,-28.320,-31.738,0.000
1700209054.734,-59.570,-45.410,-29.297,-39.551,0.000
1700209054.738,-14.160,-40.039,-29.297,-26.367,0.000
1700209054.742,13.672,-37.109,-30.273,-7.812,0.000
1700209054.746,-14.648,-41.992,-35.645,-15.137,0.000
1700209054.750,-44.922,-41.016,-33.203,-31.738,0.000
1700209054.754,-18.066,-39.062,-27.344,-15.137,0.000
1700209054.757,17.090,-31.738,-23.926,3.906,0.000
1700209054.761,-0.488,-33.203,-21.484,-8.301,0.000
1700209054.765,-36.621,-40.527,-29.785,-25.391,0.000
1700209054.769,-37.109,-43.945,-30.273,-18.066,0.000
1700209054.773,-1.953,-46.387,-26.855,1.465,0.000
1700209054.777,-2.930,-49.805,-26.855,-13.184,0.000
1700209054.781,-42.480,-45.410,-27.832,-40.527,0.000
1700209054.785,-58.594,-38.574,-25.391,-47.852,0.000
1700209054.789,-23.438,-39.551,-23.438,-28.809,0.000
1700209054.793,-11.719,-38.574,-32.227,-27.832,0.000
1700209054.796,-44.922,-43.945,-33.691,-44.922,0.000
1700209054.800,-60.547,-48.340,-27.832,-41.992,0.000
1700209054.804,-29.297,-38.574,-26.855,-24.414,0.000
1700209054.808,-5.859,-39.551,-32.715,-22.461,0.000
1700209054.812,-30.762,-45.898,-31.738,-41.016,0.000
1700209054.816,-59.082,-52.734,-27.344,-47.363,0.000
1700209054.820,-30.273,-51.270,-24.902,-20.996,0.000
1700209054.824,-0.488,-35.156,-25.391,-8.301,0.000
1700209054.828,-16.113,-33.691,-19.531,-26.367,0.000
1700209054.832,-41.992,-38.086,-16.113,-41.504,0.000
1700209054.836,-39.551,-41.992,-27.344,-41.016,0.000
1700209054.839,-2.930,-41.992,-29.297,-22.461,0.000
1700209054.843,2.930,-39.551,-25.879,-16.113,0.000
1700209054.847,-36.133,-45.898,-25.391,-20.996,0.000
1700209054.851,-50.781,-43.945,-26.855,-30.762,0.000
1700209054.855,-11.230,-39.062,-28.320,-18.066,0.000
1700209054.859,-2.930,-47.852,-31.250,-9.766,0.000
1700209054.863,-33.203,-45.898,-28.320,-21.973,0.000
1700209054.867,-61.523,-41.016,-28.809,-41.992,0.000
1700209054.871,-44.922,-44.434,-30.273,-44.922,0.000
1700209054.875,-15.625,-45.410,-26.855,-26.367,0.000
1700209054.879,-29.785,-43.945,-27.832,-35.156,0.000
1700209054.882,-61.035,-46.875,-24.414,-49.316,0.000
1700209054.886,-55.176,-45.410,-27.832,-45.410,0.000
1700209054.890,-14.160,-45.898,-28.320,-22.461,0.000
1700209054.894,-10.742,-46.387,-14.648,-6.348,0.000
1700209054.898,-45.898,-33.691,-8.789,-20.020,0.000
1700209054.902,-59.570,-34.180,-18.066,-36.133,0.000
1700209054.906,-40.039,-46.875,-24.902,-30.762,0.000
1700209054.910,-40.039,-42.969,-19.531,-34.180,0.000
1700209054.914,-74.707,-27.832,-10.742,-44.922,0.000
1700209054.918,-105.957,-19.043,-6.836,-64.453,0.000
1700209054.921,-90.820,-15.625,-7.324,-70.312,0.000
1700209054.925,-90.332,-11.719,-9.277,-88.379,0.000
1700209054.929,-143.555,-6.348,-6.836,-131.348,0.000
1700209054.933,-194.824,-1.465,4.395,-168.457,0.000
1700209054.937,-193.359,3.906,0.000,-184.570,0.000
1700209054.941,-182.129,7.324,-1.953,-196.777,0.000
1700209054.945,-217.285,7.812,2.930,-221.680,0.000
1700209054.949,-265.137,14.160,-1.953,-249.023,0.000
1700209054.953,-254.395,15.137,0.000,-240.234,0.000
1700209054.957,-208.008,8.301,2.930,-210.938,0.000
1700209054.961,-204.102,14.160,-2.441,-203.613,0.000
1700209054.964,-225.586,9.277,-8.301,-210.449,0.000
1700209054.968,-212.891,-2.930,-10.742,-194.824,0.000
1700209054.972,-149.414,7.324,-18.066,-147.461,0.000
1700209054.976,-116.699,9.766,-20.508,-121.094,0.000
1700209054.980,-131.348,-7.812,-21.484,-124.023,0.000
1700209054.984,-127.441,-12.207,-32.715,-105.957,0.000
1700209054.988,-76.172,-8.789,-34.668,-71.289,0.000
1700209054.992,-37.109,-16.602,-32.227,-52.734,0.000
1700209054.996,-49.316,-28.809,-35.156,-45.410,0.000
1700209055.000,-61.523,-35.645,-41.992,-38.086,0.000
1700209055.003,-35.645,-45.410,-41.016,-28.809,0.000
1700209055.007,10.254,-48.340,-38.086,-5.859,0.000
1700209055.011,12.695,-46.875,-37.109,16.602,0.000
1700209055.015,-16.113,-56.641,-36.621,17.578,0.000
1700209055.019,-3.906,-61.523,-32.715,16.113,0.000
1700209055.023,46.387,-57.617,-31.250,33.691,0.000
1700209055.027,59.570,-67.383,-35.645,41.016,0.000
1700209055.031,26.855,-72.754,-38.086,29.785,0.000
1700209055.035,8.301,-61.523,-39.551,26.855,0.000
1700209055.039,51.270,-61.035,-43.945,46.875,0.000
1700209055.043,74.219,-74.219,-39.062,56.152,0.000
1700209055.046,46.387,-70.312,-38.086,44.922,0.000
1700209055.050,20.020,-63.965,-40.527,40.039,0.000
1700209055.054,55.176,-63.965,-35.156,55.664,0.000
1700209055.058,85.938,-59.082,-29.785,71.289,0.000
1700209055.062,50.781,-56.641,-32.715,58.105,0.000
1700209055.066,12.207,-59.082,-39.551,33.203,0.000
1700209055.070,28.809,-71.777,-38.086,32.227,0.000
1700209055.074,68.359,-69.336,-35.645,43.457,0.000
1700209055.078,53.711,-65.430,-33.203,44.922,0.000
