timestamps,TP9,AF7,AF8,TP10,Right AUX
1700204132.548,156.250,-27.832,-26.367,112.793,0.000
1700204132.552,52.734,-24.902,-37.598,-65.430,0.000
1700204132.556,-211.426,-24.902,-40.039,-225.586,0.000
1700204132.560,-123.047,-31.738,-34.180,-58.594,0.000
1700204132.564,110.352,-35.645,-24.414,109.375,0.000
1700204132.567,89.844,-35.156,-25.391,-0.488,0.000
1700204132.571,-163.574,-35.156,-28.809,-200.195,0.000
1700204132.575,-184.570,-36.133,-21.484,-124.512,0.000
1700204132.579,69.824,-37.598,-20.508,97.656,0.000
1700204132.583,141.602,-31.250,-29.785,58.594,0.000
1700204132.587,-78.125,-29.785,-32.227,-156.250,0.000
1700204132.591,-223.145,-40.039,-34.180,-180.664,0.000
1700204132.595,-6.836,-43.945,-35.156,59.570,0.000
1700204132.599,139.648,-40.527,-33.691,106.445,0.000
1700204132.603,-12.695,-39.062,-34.668,-84.961,0.000
1700204132.607,-240.234,-33.691,-34.180,-201.660,0.000
1700204132.610,-78.613,-28.320,-33.203,13.184,0.000
1700204132.614,132.812,-27.344,-33.203,135.254,0.000
1700204132.618,62.012,-29.297,-30.762,-32.715,0.000
1700204132.622,-197.266,-37.598,-29.297,-210.449,0.000
1700204132.626,-151.855,-40.527,-34.180,-60.059,0.000
1700204132.630,101.562,-35.645,-37.598,122.070,0.000
1700204132.634,125.000,-26.367,-35.156,19.043,0.000
1700204132.638,-141.113,-28.809,-35.156,-191.406,0.000
1700204132.642,-208.496,-38.086,-29.297,-135.742,0.000
1700204132.646,53.223,-39.551,-29.297,91.797,0.000
1700204132.649,149.414,-32.715,-30.273,68.848,0.000
1700204132.653,-61.523,-33.691,-33.203,-143.555,0.000
1700204132.657,-234.863,-36.621,-39.551,-191.406,0.000
1700204132.661,-19.531,-30.273,-30.762,53.223,0.000
1700204132.665,141.602,-27.344,-21.973,105.469,0.000
1700204132.669,0.000,-32.715,-23.438,-91.309,0.000
1700204132.673,-247.559,-40.527,-27.344,-227.051,0.000
1700204132.677,-108.887,-40.039,-29.297,-26.855,0.000
1700204132.681,120.117,-34.180,-23.438,116.699,0.000
1700204132.685,64.453,-34.180,-25.879,-29.785,0.000
1700204132.689,-206.543,-36.133,-30.273,-224.121,0.000
1700204132.692,-180.176,-37.109,-32.715,-92.285,0.000
1700204132.696,79.590,-38.086,-32.715,111.816,0.000
1700204132.700,115.723,-38.574,-32.227,24.414,0.000
1700204132.704,-117.676,-32.715,-36.133,-179.199,0.000
1700204132.708,-203.613,-33.203,-32.227,-150.879,0.000
1700204132.712,39.551,-32.227,-26.367,68.359,0.000
1700204132.716,152.832,-34.180,-26.855,52.734,0.000
